Vehicle_Make,Vehicle_Model,Vehicle_Year,Vehicle_Value,Severity,Damage_Type,Num_Vehicles_Involved,Road_Type,Time_Hour,Injuries,Repair_Cost,Medical_Cost,Total_Cost
BMW,3 Series,2023,45296,4,Severe,2,Urban,16,0,55766,82101,221644
Subaru,Outback,2017,8645,1,Moderate,1,Urban,23,0,7334,2053,12283
Ford,F-150,2018,12787,1,Minor,4,Urban,5,0,3034,2631,16285
Honda,Accord,2024,37541,3,Severe,4,Highway,0,3,34145,14440,156744
Nissan,Altima,2018,7612,2,Moderate,3,Rural,4,3,6826,7771,26135
Jeep,Wrangler,2015,10379,2,Minor,2,Highway,7,1,2641,12055,26702
Honda,Civic,2020,12707,3,Severe,4,Rural,1,5,21099,41519,145724
Nissan,Altima,2017,6645,1,Moderate,1,Urban,6,0,6594,1211,8038
Nissan,Altima,2019,12886,2,Severe,2,Highway,23,0,21185,10291,60168
Tesla,Model Y,2022,42853,2,Moderate,3,Urban,3,6,28140,12121,72938
Nissan,Altima,2022,15327,1,Moderate,4,Highway,16,0,8678,1882,27252
Nissan,Altima,2020,11670,3,Severe,2,Highway,11,0,20601,25480,79130
Chevrolet,Silverado,2018,13636,4,Severe,4,Rural,12,4,24817,42412,157586
Honda,Accord,2020,16312,3,Total Loss,2,Highway,6,4,15496,30917,93872
Jeep,Wrangler,2016,9660,4,Total Loss,2,Highway,7,2,9177,51505,91463
Subaru,Outback,2016,9184,4,Total Loss,4,Residential,9,1,8724,137561,277732
Toyota,Camry,2021,13422,4,Total Loss,2,Rural,14,0,12750,41382,80232
Mercedes-Benz,C-Class,2020,31212,1,Minor,4,Urban,10,0,6493,2486,18806
Ford,F-150,2022,27770,2,Moderate,3,Highway,8,5,14997,9964,59780
Honda,Accord,2017,11769,4,Severe,1,Rural,1,2,21002,129805,186890
Chevrolet,Silverado,2015,13398,2,Minor,2,Residential,12,4,3107,11812,19015
Toyota,Corolla,2016,5580,1,Minor,1,Urban,13,0,1918,1213,3360
Honda,Civic,2015,6272,4,Severe,3,Urban,17,6,18010,59631,148872
Hyundai,Elantra,2016,7366,4,Total Loss,4,Rural,1,8,6997,103167,223634
Toyota,Camry,2024,27272,1,Minor,1,Urban,21,0,3681,2618,7047
Nissan,Altima,2020,11165,4,Severe,1,Rural,8,2,20359,87809,124107
Chevrolet,Silverado,2022,31408,4,Severe,4,Residential,1,5,37613,94032,294235
Toyota,Camry,2017,7095,4,Total Loss,2,Residential,13,0,6740,110201,154798
Subaru,Outback,2017,10643,3,Moderate,2,Rural,4,2,7873,21509,55689
Toyota,Corolla,2020,12875,2,Moderate,4,Rural,20,0,7896,9752,35193
Subaru,Outback,2015,7101,1,Moderate,1,Urban,15,0,6917,3432,12684
Jeep,Wrangler,2017,11430,3,Total Loss,3,Residential,6,0,10858,31374,63499
Jeep,Wrangler,2023,27353,2,Minor,4,Residential,6,4,4508,10216,27816
Honda,Civic,2020,11473,3,Severe,3,Rural,9,6,20507,21247,77215
Mercedes-Benz,C-Class,2022,35639,3,Severe,3,Residential,23,4,49213,30025,142748
Chevrolet,Silverado,2022,36630,3,Severe,3,Residential,14,4,41373,21238,83819
Nissan,Altima,2019,11008,1,Minor,1,Rural,10,0,2380,1855,3920
Honda,Civic,2021,13319,1,Minor,3,Residential,0,0,2565,1983,8017
Chevrolet,Silverado,2022,30833,4,Total Loss,1,Urban,14,0,29291,58782,94880
Mercedes-Benz,C-Class,2019,23390,1,Minor,4,Urban,16,0,5242,2955,16241
Mazda,CX-5,2017,8548,1,Minor,1,Residential,14,0,2226,2413,4019
Tesla,Model 3,2018,17881,4,Total Loss,3,Residential,2,0,16986,114235,224249
Mercedes-Benz,C-Class,2015,11982,3,Moderate,1,Urban,16,1,10751,23349,38969
Honda,Accord,2019,15437,1,Minor,4,Urban,16,0,2812,3153,10744
BMW,3 Series,2020,24190,3,Severe,1,Urban,14,0,36771,22155,77187
Toyota,Corolla,2020,12616,4,Total Loss,3,Rural,18,1,11985,99991,158209
Honda,Civic,2020,12703,1,Minor,4,Highway,0,0,2516,2421,14775
Toyota,Camry,2024,33284,3,Severe,3,Highway,13,6,30976,32657,145168
Subaru,Outback,2021,17477,3,Severe,1,Rural,12,2,24437,43957,80101
Tesla,Model Y,2020,29141,4,Total Loss,3,Rural,8,2,27683,136880,302568
Honda,Accord,2018,13936,2,Minor,1,Residential,17,1,2684,6844,8227
Mercedes-Benz,C-Class,2017,17686,1,Minor,1,Urban,16,0,4329,1876,6791
Mercedes-Benz,C-Class,2023,49715,2,Minor,2,Residential,20,2,9454,8633,19848
Mercedes-Benz,C-Class,2024,44207,2,Moderate,4,Rural,9,4,26219,10386,73083
Tesla,Model Y,2020,32347,3,Moderate,3,Urban,16,3,22467,16335,67154
Subaru,Outback,2023,30485,4,Severe,1,Urban,9,1,31461,105904,135743
Subaru,Outback,2019,12788,1,Minor,1,Residential,16,0,2650,2745,5172
Jeep,Wrangler,2021,22062,1,Minor,2,Residential,13,0,3926,1720,7346
Tesla,Model 3,2019,24129,4,Total Loss,4,Highway,19,0,22922,86720,304245
Mercedes-Benz,C-Class,2021,30714,4,Total Loss,1,Rural,13,2,29178,122394,154723
